SAMPLE	PHENO
samp_g0_0	-0.244811044497659
samp_g0_1	-0.0251953845008921
samp_g0_2	-0.108148084264032
samp_g0_3	0.221755747263971
samp_g0_4	-1.57274596817542
samp_g0_5	0.149452805616023
samp_g0_6	-0.0807899095487758
samp_g0_7	1.1807277993428
samp_g0_8	0.233163689888639
samp_g0_9	0.505124667908283
samp_g0_10	-1.58374736149362
samp_g0_11	-1.00775826274824
samp_g0_12	0.945912371292322
samp_g0_13	2.62055922678124
samp_g0_14	0.418208911246882
samp_g0_15	0.487326309191731
samp_g0_16	1.1661822808262
samp_g0_17	-0.645673607305866
samp_g0_18	1.67533476717781
samp_g0_19	-0.47190600748484
samp_g1_0	6.98512946573603
samp_g1_1	4.91057247606709
samp_g1_2	5.6104364081569
samp_g1_3	5.70865017707402
samp_g1_4	5.84038211022773
samp_g1_5	4.24868863093784
samp_g1_6	6.81684307774068
samp_g1_7	3.81448246524119
samp_g1_8	3.31980897631319
samp_g1_9	3.42282155355355
samp_g1_10	5.56878062077546
samp_g1_11	5.25279702017298
samp_g1_12	5.62349359509645
samp_g1_13	4.97441537381351
samp_g1_14	6.14914220466933
samp_g1_15	5.48749887579471
samp_g1_16	5.2755965441755
samp_g1_17	4.2568981271907
samp_g1_18	3.75266945993394
samp_g1_19	4.82644137481731
